"id","SalePrice"
1461,117441.953125
1462,158930.5625
1463,173807.859375
1464,175174.703125
1465,199208.234375
1466,177251.375
1467,170153.671875
1468,166406.359375
1469,176719.59375
1470,115296.6171875
1471,190055.6875
1472,99533.609375
1473,104832.671875
1474,155746.640625
1475,140826.125
1476,390792.5
1477,251033.859375
1478,298016.8125
1479,229214.765625
1480,467160.8125
1481,281759.15625
1482,208469.484375
1483,167784.46875
1484,163489.28125
1485,171618.453125
1486,191005.125
1487,313820
1488,238429.21875
1489,193561.609375
1490,180805.328125
1491,182721.25
1492,77911.359375
1493,187374.171875
1494,249806.15625
1495,297638.90625
1496,203763.71875
1497,188524.203125
1498,151842.296875
1499,154530.6875
1500,146562.859375
1501,174563.90625
1502,166802.0625
1503,264921.4375
1504,228807.046875
1505,209158.625
1506,181969.59375
1507,238672.09375
1508,192651.9375
1509,161233.203125
1510,137914.234375
1511,145982.0625
1512,160212.859375
1513,154129.53125
1514,166488.359375
1515,189920.3125
1516,153016.921875
1517,146427.03125
1518,125366.625
1519,204697.046875
1520,127948.609375
1521,136785.6875
1522,177296.5
1523,111687.234375
1524,113132.40625
1525,121413.3828125
1526,135234.046875
1527,100772.515625
1528,124932.7578125
1529,139077.875
1530,169887.765625
1531,122705.609375
1532,97787.1875
1533,141623.625
1534,120992.4140625
1535,160727.78125
1536,115022.359375
1537,68637.1328125
1538,165310.046875
1539,225725.265625
1540,98868.71875
1541,154755.90625
1542,137823.75
1543,219465.03125
1544,67944.7734375
1545,105848.8671875
1546,127914.609375
1547,133646
1548,134861.734375
1549,117166.4921875
1550,138696.984375
1551,102230.953125
1552,124918.3671875
1553,132413.234375
1554,111329.8671875
1555,174581.953125
1556,80854.0703125
1557,110517.6640625
1558,93824.71875
1559,112980.3203125
1560,144821.8125
1561,135214.796875
1562,129737.6015625
1563,113680.8125
1564,124370.8671875
1565,147867.796875
1566,210028.875
1567,68762.6875
1568,221328.34375
1569,140076.328125
1570,128023.0703125
1571,110986.03125
1572,141368.46875
1573,235568.125
1574,104054.625
1575,237581.109375
1576,199246.359375
1577,188457.5
1578,150561.125
1579,137094.75
1580,183410.734375
1581,148348.640625
1582,124419.3125
1583,307327.03125
1584,225279.625
1585,139040.375
1586,75664.875
1587,108526.671875
1588,146556.046875
1589,87260.7890625
1590,129249.515625
1591,103824.59375
1592,110376.9921875
1593,122933.3125
1594,125591.4140625
1595,103539.0859375
1596,216723.65625
1597,168751.40625
1598,185768.421875
1599,211425.5625
1600,192776.4375
1601,72284.9296875
1602,112420.515625
1603,102543.1640625
1604,266895.96875
1605,250850.53125
1606,155645.5625
1607,163956.9375
1608,192455.953125
1609,191851.53125
1610,157622.390625
1611,129722.2265625
1612,162849.734375
1613,152280.171875
1614,119519.7265625
1615,77055.7109375
1616,71370.5546875
1617,82680.296875
1618,128105.21875
1619,141103.109375
1620,126648.859375
1621,133124.578125
1622,145731.109375
1623,302684.90625
1624,209852.71875
1625,121269.5546875
1626,164684.859375
1627,176439.515625
1628,282997
1629,180111.546875
1630,387253.4375
1631,241189.015625
1632,235435.609375
1633,165961.578125
1634,177863.09375
1635,174563.90625
1636,153411.75
1637,165592.0625
1638,201305.734375
1639,180263.640625
1640,259030.59375
1641,183167.328125
1642,213520.296875
1643,236596.25
1644,222070.546875
1645,182876.015625
1646,142324.4375
1647,164810.78125
1648,126628.9921875
1649,132947.640625
1650,118146.984375
1651,122245.5625
1652,99718.8828125
1653,103868.7265625
1654,159190.671875
1655,151620.109375
1656,147148.890625
1657,153009.203125
1658,153330.359375
1659,140826.125
1660,141108.8125
1661,557182.8125
1662,382334.25
1663,362604.09375
1664,442185.0625
1665,297505.96875
1666,284296.875
1667,317294.875
1668,308546.5
1669,269801.28125
1670,309188.34375
1671,239593.34375
1672,485237.1875
1673,277259
1674,247951.71875
1675,171472.71875
1676,175924.6875
1677,205448.578125
1678,438950.75
1679,381227.96875
1680,312052.96875
1681,282668.6875
1682,245251.09375
1683,183136.640625
1684,173561.75
1685,163107.171875
1686,169652.796875
1687,165272.09375
1688,182721.25
1689,182721.25
1690,180238.8125
1691,168649.96875
1692,248329
1693,165961.578125
1694,179127.90625
1695,173561.75
